08000
|d000这个时间即使回到家里，也不会有人在。
|d000我没有母亲，据说是在我小时候因交通事故而去世的，现在我连她的长相也不记得了。
|d000可能是因为受到失去母亲的刺激…父亲从此堕落了。
|d000开始过着靠不停的酗酒与赌博来消磨时间的生活，我的少年时代，就是被埋没在与那种父亲不断争吵之中。
|d000但是，发生了某件事情之后，就连这种关系也无法维持下去了。
|d000父亲对我施以暴力，我因此受伤。
|d000那天以后，父亲就不再表露出自己的感情，
|d000甚至，不再像以前那样直呼我的名字，而是加上了尊称“君”，用“朋也君”来称呼我。
|d000感觉上他的言行也变得越来越客套多礼，这也正是，我们变得形同陌路的过程。
|d000就像把自己逐渐封闭在蚕茧中一样，就像切断了现在和过去的纽带一样。
|d000干脆对我撒手不管的话，还会感到好受得多。
|d000干脆伤害我的话，也会感到欣慰得多。
|d000但是父亲一看到我从学校回来，就好像迎来了老朋友一样…高高兴兴地与我聊起家常，
|d000这时我的心会变得很痛，无法再多呆一会儿…于是我就跑出了家门。
|d000所以我尽量不与父亲碰头，一直持续着不到深夜不回家的生活。
|d000因为天快亮才入睡，醒来时往往也就接近中午了。
|d000进入高中后，我几乎每天都会迟到，这种生活已经持续了将近三年。
end10
